,overview,poster_path,release_date,title,genre1,genre2
69,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,1950-10-06,All About Eve,18,
70,All The King's Men is the story of the rise of politician Willie Stark from a rural county seat to the governor's mansion.,/flvbh5w7AyIVvtp8trkzyG2j5k4.jpg,1949-11-16,All the King's Men,18,
71,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists.",/woO9SgU2vTRMZeG0YqOLeoIqlzC.jpg,1948-12-10,Hamlet,18,
72,A magazine writer poses as a Jew to expose anti-Semitism.,/hKNpQ8cCbbKJiFrwkXJrM632xvN.jpg,1947-11-11,Gentleman's Agreement,18,10749.0
73,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare. Captain Fred Derry is returning to a loveless marriage; Sergeant Al Stephenson is a stranger to a family that's grown up without him; and young sailor Homer Parrish is tormented by the loss of his hands. Can these three men find the courage to rebuild their world? Or are the best years of their lives a thing of the past?",/sAHGamJwm8kia5oJd26XyO33KXL.jpg,1946-12-25,The Best Years of Our Lives,18,10749.0
74,"Don Birnam, a long-time alcoholic, has been sober for ten days and appears to be over the worst... but his craving has just become more insidious. Evading a country weekend planned by his brother and girlfriend, he begins a four-day bender that just might be his last - one way or another.",/5fZWKQREZ3QVNjBKMLa7NmqufnE.jpg,1945-11-29,The Lost Weekend,18,
75,"Youthful Father Chuck O'Malley led a colorful life of sports, song, and romance before joining the Roman Catholic clergy. After being appointed to a run-down New York parish, O'Malley's worldly knowledge helps him connect with a gang of boys looking for direction, eventually winning over the aging, conventional Parish priest.",/3sS4t6wb7oJnLpeAC93KsfI06BC.jpg,1944-05-15,Going My Way,35,18.0
76,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,1942-11-26,Casablanca,18,10749.0
77,"English middle-class family, The Minivers, experience life in the first months of World War II.",/jGEjvpBplUKBxsaP2Ye11uNL5Fi.jpg,1942-07-03,Mrs. Miniver,18,10749.0
78,"At the turn of the century in a Welsh mining village, the Morgans (he stern, she gentle) raise coal-mining sons and hope their youngest will find a better life.",/zmYNtzq3B17DSpDYkF3JUHBa8Yx.jpg,1941-10-28,How Green Was My Valley,18,
79,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",/3Gla0nxHboX3nxQzaU4SoqOtTjh.jpg,1940-03-23,Rebecca,18,9648.0
80,"The spoiled daughter of a well-to-do plantation owner is forced to use every means at her disposal to claw her way out of poverty, following Maj. Gen. William Sherman's destructive ""March to the Sea,” during the American Civil War.",/s0S2KXGRHxOYu8zCcV5p5sczw9d.jpg,1939-12-15,Gone with the Wind,18,10752.0
81,"Alice, the only relatively normal member of the eccentric Sycamore family, falls in love with Tony Kirby, but his wealthy banker father and snobbish mother strongly disapprove of the match. When the Kirbys are invited to dinner to become better acquainted with their future in-laws, things don't turn out the way Alice had hoped.",/ysTiFXwTowOdDOUu9ikE21LPmdy.jpg,1938-09-01,You Can't Take It with You,35,18.0
82,Biopic of the famous French writer Emile Zola and his involvement in the Dreyfus Affair.,/gsEa6ZU1zHhjTYneNNBQApzl8Vu.jpg,1937-10-02,The Life of Emile Zola,18,
83,"Lavish biography of Flo Ziegfeld, the producer who became Broadway's biggest starmaker.",/rhF6vYFVCaPCs7CgDqg3n4mNod3.jpg,1936-04-08,The Great Ziegfeld,18,10402.0
84,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors.",/bO6kaRD2BacZRPAijZgP31Fvtw4.jpg,1935-11-22,Mutiny on the Bounty,12,18.0
85,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",/wx4ptyx3vlPBVl5DzBA8KomcJww.jpg,1934-02-22,It Happened One Night,35,10749.0
86,"A cavalcade of English life from New Year's Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War, the death of Queen Victoria, the sinking of the Titanic and the Great War.",/8F27IY0A2bARLG8Edqw19ButWxb.jpg,1933-02-08,Cavalcade,18,
87,"Guests at a posh Berlin hotel struggle through worry, scandal, and heartache.",/2j7dxqIlGHdTaaUW9s4Z5zfp9qS.jpg,1932-05-25,Grand Hotel,18,10749.0
88,"When the government opens up the Oklahoma territory for settlement, restless Yancey Cravat claims a plot of the free land for himself and moves his family there from Wichita. A newspaperman, lawyer, and just about everything else, Cravat soon becomes a leading citizen of the boom town of Osage. Once the town is established, however, he begins to feel confined once again, and heads for the Cherokee Strip, leaving his family behind. During this and other absences, his wife Sabra must learn to take care of herself and soon becomes prominent in her own right.",/1houml9MikqpuePiAvt4XdLJVHl.jpg,1931-02-09,Cimarron,18,37.0
89,"A young soldier faces profound disillusionment in the soul-destroying horror of World War I. Together with several other young German soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. They eventually become sad, tormented, and confused of their purpose.",/yAU6jklJLUjZot3WyvyJrxVdLKb.jpg,1930-04-29,All Quiet on the Western Front,18,10752.0
90,"Harriet and Queenie Mahoney, a vaudeville act, come to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield's shows. Eddie was in love with Harriet, but when he meets Queenie, he falls in love to her, but she is courted by Jock Warriner, a member of the New Yorker high society. It takes a while till Queenie recognizes, that she is for Jock nothing more than a toy, and it also takes a while till Harriet recognizes, that Eddie is in love with Queenie",/7oaRBmiEjqzLk1j36N8TRSFPebQ.jpg,1929-02-08,The Broadway Melody,18,10402.0
91,"Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who's the lovestruck lifelong next door neighbor of one of them, pines away.",/a5z7gCR1xLikOJK3WYXIoXoo9Xi.jpg,1927-08-12,Wings,18,28.0
